,time_insec_dep,time_insec_arr,ORIGIN_AIRPORT,DEPARTURE_DELAY,DISTANCE,ARRIVAL_DELAY,weekday
0,60,31740,LAX,-3.0,2342.0,0.0,6.0
1,300,5880,CLT,0.75,546.0,1.5,3.25
2,300,17580,LAX,2.7058823529411766,1235.0,-3.176470588235294,2.4705882352941178
3,300,17640,LAX,-1.5945945945945945,1235.0,-2.4054054054054053,3.027027027027027
4,300,17700,LAX,5.5,1235.0,11.5,3.75
5,300,21300,LAX,2.0,1797.0,2.0,5.0
6,300,21300,SEA,0.16279069767441862,1660.0,-13.744186046511627,2.5348837209302326
7,300,21540,PHX,-2.3333333333333335,1773.0,-17.0,1.0
8,300,21720,14747,3.32,1660.0,-15.92,2.56
9,300,21720,14747,10.0,1660.0,-19.0,3.0
10,300,21720,SEA,-0.5454545454545454,1660.0,-22.545454545454547,2.272727272727273
11,300,27900,LAX,-6.0,2330.0,-0.5,3.5
12,300,28140,LAX,8.0,2330.0,25.0,3.0
13,300,28320,LAX,-3.6538461538461537,2330.0,-1.2307692307692308,3.5
14,300,29280,SFO,-0.9253731343283582,2296.0,-12.0,2.925373134328358
15,360,26940,LAS,-1.6923076923076923,2089.0,-13.076923076923077,2.769230769230769
16,600,3360,CLT,-5.0,511.0,-15.0,6.0
17,600,4860,CLT,9.0,322.0,18.0,0.0
18,600,4980,CLT,-3.0,328.0,-5.5,1.0
19,600,18000,LAX,9.0,1235.0,-2.0,1.0
20,600,18060,LAX,1.925,1235.0,-0.925,2.525
21,600,18300,12892,-1.0,1235.0,10.0,0.0
22,600,18360,12892,-1.0952380952380953,1235.0,-1.4285714285714286,2.380952380952381
23,600,18360,12892,2.0,1235.0,13.0,5.0
24,600,18360,LAX,2.0,1235.0,-1.5,1.0
25,600,22320,SEA,-4.0,1721.0,-22.0,6.0
26,600,28200,LAX,-6.0,2330.0,6.75,3.25
27,600,28860,14771,-3.892857142857143,2296.0,-0.35714285714285715,2.9642857142857144
28,600,28860,14771,-3.5,2296.0,-13.5,4.0
29,600,28860,SFO,-3.68,2296.0,-5.92,2.72
30,600,29160,12892,-6.666666666666667,2342.0,-11.333333333333334,5.0
31,600,29160,12892,-3.0,2342.0,7.0,3.0
32,600,29160,LAX,-3.5,2342.0,2.4,2.95
33,600,30120,LAX,0.9139784946236559,2342.0,3.3763440860215055,3.053763440860215
34,600,30180,LAX,2.0,2342.0,-24.0,3.0
35,900,4380,CLT,-2.6,257.0,-1.2,2.6
36,900,5220,CLT,-4.5,331.0,-17.0,5.5
37,900,5460,CLT,-3.5,361.0,-0.5,2.5
38,900,6540,CLT,24.0,1032.0,31.0,0.0
39,900,6960,CLT,8.0,1095.0,14.0,0.0
40,900,7560,CLT,5.333333333333333,632.0,0.0,2.3333333333333335
41,900,18240,LAX,-4.0,1235.0,5.0,5.0
42,900,18480,LAX,12.333333333333334,1235.0,18.0,5.0
43,900,18660,12892,5.0,1235.0,-6.0,4.0
44,900,18660,12892,2.0,1235.0,-1.0,3.0
45,900,18660,LAX,-1.8421052631578947,1235.0,-3.263157894736842,2.473684210526316
46,900,18960,LAX,7.950819672131147,1235.0,4.60655737704918,3.1147540983606556
47,900,19080,LAX,7.925925925925926,1235.0,5.666666666666667,2.7777777777777777
48,900,21420,PDX,4.818181818181818,1616.0,-12.727272727272727,3.090909090909091
49,900,21420,PHX,-6.0,1773.0,-8.0,0.0
50,900,21660,PHX,2.7777777777777777,1773.0,-6.288888888888889,2.533333333333333
51,900,22020,14869,-1.0,1727.0,-11.647058823529411,3.0588235294117645
52,900,22020,14869,-1.5,1727.0,-10.0,4.0
53,900,22020,SLC,-6.352941176470588,1727.0,-15.117647058823529,2.588235294117647
54,900,22140,SLC,-0.9375,1727.0,-10.953125,2.953125
55,900,22200,SEA,-0.03125,1660.0,-9.71875,2.859375
56,900,22260,RNO,10.916666666666666,1671.0,-12.5,3.4166666666666665
57,900,25860,LAX,-9.0,2342.0,8.0,6.0
58,900,29100,SFO,-1.3673469387755102,2296.0,-7.979591836734694,3.0
59,900,29460,12892,-2.4,2342.0,-6.6,2.76
60,900,29460,12892,-5.0,2342.0,12.0,5.0
61,900,29460,LAX,1.6666666666666667,2342.0,-6.0,1.0
62,1020,7680,CLT,1.0,632.0,-8.0,6.0
63,1200,3240,CLT,23.0,511.0,19.0,0.0
64,1200,4020,CLT,27.5,130.0,23.0,0.0
65,1200,4800,CLT,8.5,290.0,7.0,2.75
66,1200,5340,CLT,-3.5,226.0,-15.5,0.0
67,1200,5400,CLT,-0.5,328.0,-6.0,0.0
68,1200,5520,CLT,-6.5,331.0,-15.5,1.0
69,1200,5640,CLT,-4.0,366.0,-4.8,2.6
70,1200,5700,CLT,51.0,331.0,34.0,0.0
71,1200,5760,CLT,-7.5,366.0,-7.5,0.0
