,time_insec_dep,time_insec_arr,ORIGIN_AIRPORT,DEPARTURE_DELAY,DISTANCE,ARRIVAL_DELAY,weekday
0,300,15960,ANC,-3.0,1448.0,-6.928571428571429,3.0
1,300,16020,ANC,3.0,1448.0,-6.5,3.1666666666666665
2,300,16140,ANC,-1.3333333333333333,1448.0,-1.1666666666666667,3.3333333333333335
3,300,16200,ANC,-3.1666666666666665,1448.0,-15.5,3.5
4,300,16440,ANC,-2.8823529411764706,1448.0,-17.0,3.176470588235294
5,300,16620,ANC,-15.0,1448.0,-31.0,6.0
6,300,19500,ANC,8.0,1448.0,-3.0,6.0
7,600,25200,SEA,-1.0,1721.0,14.0,6.0
8,1500,12000,SEA,3.5454545454545454,1448.0,-20.181818181818183,3.5454545454545454
9,1800,18600,ANC,-5.057142857142857,1542.0,-15.742857142857142,3.0
10,1800,19020,ANC,-2.074074074074074,1542.0,-18.185185185185187,2.888888888888889
11,1800,22500,ANC,-3.0,1542.0,-24.0,6.0
12,2100,23400,SEA,-0.88,1721.0,-12.2,3.12
13,2100,23520,SEA,-1.3823529411764706,1721.0,-6.970588235294118,2.911764705882353
14,2400,18780,ANC,0.043478260869565216,1542.0,-5.6231884057971016,3.1594202898550723
15,2400,18900,ANC,-4.470588235294118,1542.0,-12.647058823529411,3.8823529411764706
16,2400,19140,ANC,-6.714285714285714,1542.0,-6.357142857142857,1.7142857142857142
17,2400,19200,ANC,-4.333333333333333,1542.0,-5.666666666666667,0.3333333333333333
18,2400,23400,SEA,4.269230769230769,1721.0,-0.8076923076923077,2.8846153846153846
19,2700,14760,ANC,-3.0,1448.0,-8.0,6.0
20,2700,18000,ANC,-0.4722222222222222,1448.0,-7.916666666666667,3.0277777777777777
21,2700,18120,ANC,2.8857142857142857,1448.0,-1.4,3.0
22,2700,18240,ANC,0.32653061224489793,1448.0,-6.163265306122449,3.0408163265306123
23,2700,18300,ANC,-2.0357142857142856,1448.0,-10.535714285714286,3.0
24,2700,18360,ANC,2.075268817204301,1448.0,-0.5698924731182796,2.956989247311828
25,2700,18540,ANC,-0.9230769230769231,1448.0,-9.115384615384615,2.8076923076923075
26,2700,18660,ANC,1.7142857142857142,1448.0,-6.285714285714286,3.142857142857143
27,2700,18840,ANC,1.4615384615384615,1448.0,-10.0,2.8846153846153846
28,2700,21900,ANC,1.0,1448.0,-9.0,6.0
29,2700,23940,SEA,-2.230769230769231,1721.0,-6.923076923076923,2.6923076923076925
30,3000,19200,10299,1.25,1542.0,-3.5,3.625
31,3000,19200,10299,-4.0,1542.0,-11.0,3.0
32,3000,19200,ANC,-0.5,1542.0,0.5,2.25
33,3000,19440,ANC,-4.0,1542.0,-3.357142857142857,3.0
34,3000,19500,ANC,-2.6,1542.0,-11.8,3.3
35,3000,19620,10299,-3.3333333333333335,1542.0,-11.142857142857142,2.8095238095238093
36,3000,19620,10299,0.0,1542.0,-6.0,5.0
37,3000,19680,ANC,0.25396825396825395,1542.0,-12.555555555555555,3.0
38,3000,24240,14747,-4.5,1721.0,-13.428571428571429,3.0357142857142856
39,3000,24240,14747,-6.5,1721.0,-21.5,4.0
40,3000,24240,SEA,6.25,1721.0,-4.25,2.25
