,time_insec_dep,time_insec_arr,ORIGIN_AIRPORT,DEPARTURE_DELAY,DISTANCE,ARRIVAL_DELAY,weekday
0,1800,18000,ANC,1.032258064516129,1448.0,-14.451612903225806,3.064516129032258
1,2400,18120,ANC,1.6578947368421053,1448.0,-7.0131578947368425,3.1052631578947367
2,2760,26040,PHX,24.0,2153.0,52.0,0.0
3,3000,32880,14771,-3.3333333333333335,2586.0,-9.666666666666666,1.6666666666666667
4,3000,32880,14771,-7.0,2586.0,-14.0,5.0
5,3000,32880,SFO,3.48,2586.0,-4.08,2.4
6,3300,33240,SFO,7.875,2586.0,-0.75,2.5
7,3540,17640,SJU,0.5789473684210527,1598.0,8.0,2.789473684210526
8,3540,19140,ANC,1.8461538461538463,1448.0,-7.923076923076923,3.076923076923077
9,3900,18120,SJU,-1.7272727272727273,1598.0,-6.212121212121212,2.909090909090909
10,4200,26460,ANC,4.882352941176471,2360.0,-4.676470588235294,3.0
11,4200,26580,ANC,4.7375,2360.0,-5.325,3.1375
12,6600,17100,SJU,3.25,1598.0,6.625,2.875
13,6600,21420,SJU,3.6,1674.0,-8.0,2.8
14,6900,17400,SJU,-0.4,1598.0,2.2,3.6
15,6900,18060,SJU,7.4,1608.0,-3.8,3.0
16,6900,18120,SJU,-2.9761904761904763,1438.404761904762,-21.214285714285715,3.0952380952380953
17,6960,18000,14254,-7.6,1179.0,-21.0,2.0
18,6960,18000,14254,-10.0,1179.0,-25.0,5.0
19,7080,18300,SJU,35.0,1608.0,29.0,2.0
20,7080,21540,SJU,33.0,1608.0,25.666666666666668,1.6666666666666667
21,7140,17640,SJU,-9.0,1598.0,-4.0,4.0
22,7440,18000,PSE,-8.847826086956522,1179.0,-16.17391304347826,3.0869565217391304
23,7440,18660,SJU,-6.823529411764706,1189.0,-25.529411764705884,2.6470588235294117
24,7440,21360,SJU,13.9,1598.0,6.0,6.0
25,7500,18000,SJU,0.4,1598.0,-13.4,3.0
26,7560,18720,SJU,-3.0,1608.0,-3.4,2.6
27,7560,21480,SJU,1.0178571428571428,1598.0,-3.6964285714285716,2.517857142857143
28,7740,18120,10732,5.2,1129.0,-6.0,2.0
29,7740,18120,10732,0.0,1129.0,-9.0,5.0
30,7740,18180,10732,-4.0,1129.0,-12.0,6.0
31,8100,22260,SJU,-10.0,1674.0,4.0,1.0
