,time_insec_dep,time_insec_arr,ORIGIN_AIRPORT,DEPARTURE_DELAY,DISTANCE,ARRIVAL_DELAY,weekday
0,60,5580,ORD,28.0,409.0,19.0,0.0
1,180,9180,ORD,43.0,474.0,29.0,0.0
2,240,8700,ORD,-5.0,343.0,-10.0,0.0
3,240,11040,ORD,0.0,642.0,-15.0,6.0
4,300,9720,ORD,10.5,528.0,15.5,3.0
5,420,8460,ORD,12.0,240.0,1.0,0.0
6,420,8520,ORD,-3.0,264.0,-7.0,0.0
7,480,10680,ORD,-2.0,589.0,-19.5,3.0
8,540,8280,ORD,-5.0,240.0,-12.0,6.0
9,600,6540,ORD,9.0,466.0,1.0,6.0
10,600,6960,ORD,-6.0,462.0,-21.0,0.0
11,600,8460,ORD,4.5,264.0,2.5,3.0
12,660,10860,ORD,1.0,589.0,-3.0,0.0
13,720,8280,ORD,9.0,177.0,-2.0,0.0
14,720,8940,ORD,11.5,343.0,-2.5,3.0
15,720,11940,ORD,8.0,773.0,-7.0,6.0
16,840,11400,ORD,12.0,666.0,2.5,3.0
17,900,10860,ORD,21.0,577.0,13.0,3.0
18,960,4200,ORD,-6.0,139.0,-5.0,0.0
19,1020,4380,ORD,25.0,108.0,10.0,0.0
20,1020,6300,ORD,13.5,409.0,17.0,3.0
21,1260,10920,ORD,20.0,528.0,2.0,0.0
22,1320,12720,ORD,26.0,773.0,17.0,0.0
23,1560,7200,ORD,21.0,403.0,14.0,6.0
24,18000,20400,MCI,42.0,152.0,53.0,3.0
25,18000,21060,GRK,-10.0,134.0,-1.0,3.0
26,18000,21240,GRK,-6.666666666666667,134.0,-12.735632183908047,2.9080459770114944
27,18000,21540,11982,-6.5,134.0,-15.545454545454545,2.5
28,18000,21540,11982,-8.5,134.0,-18.5,4.0
29,18000,21540,GRK,-9.045454545454545,134.0,-20.136363636363637,2.272727272727273
30,18000,21540,PIA,-4.321428571428571,130.0,-6.428571428571429,3.0
31,18000,21600,GRK,-5.72093023255814,134.0,-16.627906976744185,2.86046511627907
32,18000,21900,MSN,-5.0,108.0,-1.0,4.5
33,18000,22200,STL,-4.0,258.0,8.0,3.0
34,18000,22260,RIC,-9.0,642.0,-19.0,6.0
