,time_insec_dep,time_insec_arr,ORIGIN_AIRPORT,DEPARTURE_DELAY,DISTANCE,ARRIVAL_DELAY,weekday
0,300,16740,DEN,4.365384615384615,1069.0,1.0769230769230769,3.019230769230769
1,300,17100,DEN,6.793103448275862,1069.0,-1.206896551724138,3.3448275862068964
2,600,25800,LAS,34.0,1824.0,25.0,0.0
3,900,20400,PHX,3.3333333333333335,1569.0,-1.0476190476190477,4.190476190476191
4,900,22200,12892,23.666666666666668,1744.0,25.0,4.0
5,900,22200,12892,21.0,1744.0,36.0,5.0
6,900,22200,LAX,11.421052631578947,1744.0,11.789473684210526,2.9473684210526314
7,900,27900,LAS,14.671875,2065.0,8.375,3.15625
8,900,28500,LAS,6.921568627450981,2065.0,-10.803921568627452,2.9019607843137254
9,1200,25500,LAS,6.208333333333333,1747.0,5.083333333333333,2.9166666666666665
10,1200,27960,LAS,2.25,2065.0,-2.25,3.25
11,1200,28380,12889,-2.2857142857142856,2065.0,-14.523809523809524,3.1904761904761907
12,1200,28380,LAS,3.4761904761904763,2065.0,-8.142857142857142,3.0476190476190474
13,1800,18060,DEN,1.5,1069.0,-1.1666666666666667,3.3333333333333335
14,1800,18120,11292,4.909090909090909,1069.0,-0.3181818181818182,3.1363636363636362
15,1800,18120,DEN,3.772727272727273,1069.0,0.9090909090909091,3.0
16,1800,18240,DEN,1.4411764705882353,1069.0,-1.5588235294117647,2.8823529411764706
17,1800,18900,DEN,1.0,1123.0,-8.0,5.0
18,1800,19020,DEN,4.04,1199.0,-1.02,2.84
19,1800,19320,DEN,-2.0,1199.0,-13.0,3.0
20,2100,17760,DEN,7.304347826086956,977.0,3.4347826086956523,3.3043478260869565
21,2100,24000,12892,-11.523809523809524,1744.0,-0.3333333333333333,3.0952380952380953
22,2100,24000,LAX,-5.0,1744.0,-2.9545454545454546,2.8181818181818183
23,2400,26400,12889,-1.3333333333333333,1747.0,6.5,2.6666666666666665
24,2400,26400,12889,-1.0,1747.0,4.0,5.0
25,2400,26400,LAS,2.0,1747.0,7.0,2.8125
26,2400,26700,LAS,4.222222222222222,1747.0,-5.666666666666667,3.3333333333333335
27,2700,18900,12889,-7.0,1090.0,-1.25,2.5
28,2700,18900,LAS,-1.8620689655172413,1090.0,-1.7586206896551724,2.8275862068965516
29,2700,19200,LAS,3.32,1090.0,-0.2,3.04
30,2700,24600,LAX,3.1333333333333333,1744.0,3.3,2.7333333333333334
