,time_insec_dep,time_insec_arr,ORIGIN_AIRPORT,DEPARTURE_DELAY,DISTANCE,ARRIVAL_DELAY,weekday
0,6300,18600,LAS,3.608695652173913,2762.0,10.391304347826088,2.782608695652174
1,6300,21300,LAS,-3.2666666666666666,2762.0,4.433333333333334,3.1
2,6300,21600,LAS,-1.4444444444444444,2762.0,10.222222222222221,3.0833333333333335
3,6300,22200,LAS,0.9259259259259259,2762.0,-5.148148148148148,2.7777777777777777
4,6600,22800,LAS,-0.2903225806451613,2762.0,-10.0,2.903225806451613
5,6900,18000,12889,-3.9310344827586206,2762.0,-3.3448275862068964,3.0344827586206895
6,6900,18000,12889,-6.5,2762.0,0.0,4.0
7,6900,18000,LAS,-3.75,2762.0,1.7171052631578947,3.0328947368421053
8,6900,18300,LAS,-5.666666666666667,2762.0,4.62962962962963,2.962962962962963
9,18000,20940,HNL,-4.953488372093023,216.0,-2.2713178294573644,2.5348837209302326
10,18000,21120,12173,-5.88,216.0,-6.4,2.56
11,18000,21120,12173,-6.0,216.0,-7.0,4.0
12,18000,21120,HNL,-4.146496815286624,216.0,-3.1656050955414012,2.445859872611465
13,18060,20580,12173,-5.380952380952381,163.0,-3.6666666666666665,2.0952380952380953
14,18060,20580,12173,-8.0,163.0,-4.0,3.0
15,18060,20580,HNL,-6.1502890173410405,163.0,-4.445086705202312,2.445086705202312
16,18120,20640,HNL,-5.684210526315789,163.0,-4.035087719298246,2.5789473684210527
17,18120,20760,HNL,-4.461538461538462,163.0,-5.1923076923076925,2.423076923076923
18,18240,20580,HNL,-4.883333333333334,100.0,-5.933333333333334,2.933333333333333
19,18300,20460,HNL,-5.751004016064257,100.0,-3.2610441767068274,3.0
20,18300,20640,12173,-4.206896551724138,100.0,-4.068965517241379,3.0344827586206895
21,18300,20640,12173,-5.0,100.0,-8.5,4.0
22,18300,20640,HNL,-5.086956521739131,100.0,-5.869565217391305,2.869565217391304
23,18840,21060,12173,-5.896551724137931,102.0,-5.517241379310345,3.0344827586206895
24,18840,21060,12173,-5.5,102.0,-6.5,4.0
25,18840,21060,HNL,-4.7926829268292686,102.0,-3.9634146341463414,2.9390243902439024
26,19080,21420,HNL,-3.0,100.0,-8.0,0.0
27,19140,21360,HNL,-5.0285714285714285,102.0,-4.733333333333333,3.0
28,19200,21420,HNL,-5.974683544303797,102.0,-5.810126582278481,3.0
29,19380,21600,HNL,-6.696969696969697,102.0,-5.484848484848484,3.0454545454545454
30,19620,21780,12173,-5.0,100.0,-5.0,1.6
31,19620,21780,12173,-7.0,100.0,-7.0,3.0
32,19620,21780,HNL,-4.714285714285714,100.0,-2.7857142857142856,1.5
33,19680,21840,HNL,-6.3428571428571425,100.0,-5.2,0.0
34,19800,22140,HNL,-4.875,100.0,-4.0,0.0
35,19800,22200,HNL,-10.0,100.0,-11.0,5.0
36,19800,22440,HNL,-6.0,163.0,-9.0,0.0
37,20400,23040,HNL,-5.313725490196078,163.0,-4.627450980392157,3.3529411764705883
38,20880,23400,HNL,-2.1052631578947367,163.0,0.9473684210526315,2.3157894736842106
39,20940,23640,HNL,-4.954545454545454,163.0,-5.96969696969697,2.803030303030303
40,21000,23340,12173,-3.7142857142857144,102.0,-4.476190476190476,2.0952380952380953
41,21000,23340,12173,-8.0,102.0,-9.0,3.0
42,21000,23340,HNL,-4.705882352941177,102.0,-6.764705882352941,1.9411764705882353
43,21120,23340,HNL,-4.823529411764706,102.0,-4.0,2.0
44,21120,23640,12173,-5.142857142857143,163.0,-2.5238095238095237,3.4285714285714284
45,21120,23640,12173,-4.0,163.0,1.0,5.0
46,21120,23640,HNL,-4.676923076923077,163.0,-2.2,2.5692307692307694
47,21180,23400,HNL,-4.488372093023256,102.0,-2.0,2.0
48,21180,23580,HNL,-5.493975903614458,100.0,-8.542168674698795,2.4096385542168677
49,21240,23460,HNL,-2.352112676056338,102.0,-1.2253521126760563,1.971830985915493
50,21300,24420,HNL,-3.5681818181818183,216.0,-1.9545454545454546,1.9545454545454546
51,21360,23520,HNL,-5.761904761904762,100.0,-2.5714285714285716,2.5714285714285716
52,21360,23580,HNL,-4.340909090909091,102.0,-3.1818181818181817,1.9545454545454546
53,21420,23580,HNL,-4.490196078431373,100.0,-2.588235294117647,2.4705882352941178
54,21600,24600,HNL,-4.48936170212766,216.0,-2.893617021276596,2.0638297872340425
55,21660,23880,HNL,-6.191489361702128,102.0,-3.978723404255319,2.0638297872340425
56,21900,24060,HNL,-5.666666666666667,100.0,-3.5789473684210527,2.5789473684210527
57,21900,24240,HNL,-5.423076923076923,100.0,-5.0576923076923075,2.423076923076923
58,21960,24960,12173,-5.0,216.0,-4.05,2.0
59,21960,24960,12173,-5.0,216.0,-6.0,3.0
60,21960,24960,HNL,-4.860759493670886,216.0,-2.5316455696202533,2.310126582278481
61,21960,25140,12173,-7.0,216.0,-9.0,4.0
62,22140,24060,OGG,-5.293333333333333,100.0,-1.3266666666666667,3.02
63,22140,24120,OGG,-4.816326530612245,100.0,-3.183673469387755,3.0
64,22200,24660,12173,-3.625,100.0,-7.708333333333333,2.625
65,22200,24660,12173,-5.0,100.0,-8.5,4.0
66,22200,24660,HNL,-4.5,100.0,-6.75,2.4
67,22260,24720,HNL,-5.071428571428571,100.0,-8.535714285714286,2.4523809523809526
68,22320,24420,OGG,-4.516666666666667,100.0,-3.7666666666666666,2.933333333333333
69,22380,24480,13830,-5.678571428571429,100.0,-5.392857142857143,2.9285714285714284
70,22380,24480,13830,-3.5,100.0,-8.5,4.0
71,22380,24480,OGG,-4.304347826086956,100.0,-3.869565217391304,2.869565217391304
72,22380,24900,12758,-2.5714285714285716,163.0,-1.7142857142857142,2.0952380952380953
73,22380,24900,12758,-1.0,163.0,1.0,3.0
74,22380,24900,KOA,-4.410404624277457,163.0,-2.393063583815029,2.445086705202312
75,22440,24960,KOA,-3.1052631578947367,163.0,0.5263157894736842,2.5789473684210527
76,22560,24720,HNL,-4.887323943661972,100.0,-1.408450704225352,2.492957746478873
77,22560,25080,KOA,-5.769230769230769,163.0,-3.923076923076923,2.423076923076923
78,22680,25620,ITO,-3.5736434108527133,216.0,-1.7596899224806202,2.5348837209302326
79,22800,24720,12982,-4.827586206896552,102.0,-3.2413793103448274,3.0344827586206895
80,22800,24720,12982,-7.0,102.0,-6.0,4.0
81,22800,24720,LIH,-4.2,102.0,-2.55,2.9375
82,22860,25800,12402,-6.24,216.0,-5.4,2.56
83,22860,25800,12402,-6.0,216.0,-7.0,4.0
84,22860,25800,ITO,-4.496774193548387,216.0,-3.2,2.445161290322581
85,22920,25680,HNL,-4.797979797979798,163.0,-6.424242424242424,2.9696969696969697
86,23040,24960,LIH,-3.723809523809524,102.0,-3.2857142857142856,3.0
87,23100,25020,LIH,-4.3164556962025316,102.0,-3.6962025316455698,3.0
88,23160,25260,OGG,-7.0,100.0,-9.0,0.0
89,23160,25680,HNL,-5.188235294117647,163.0,-2.835294117647059,3.0352941176470587
90,23280,25200,LIH,-5.606060606060606,102.0,-2.8484848484848486,3.0454545454545454
91,23400,25740,HNL,-4.583333333333333,100.0,-5.516666666666667,2.933333333333333
92,23520,25440,13830,-5.266666666666667,100.0,-2.6,1.6
93,23520,25440,13830,-6.0,100.0,-3.0,3.0
94,23520,25440,OGG,-5.224489795918367,100.0,-0.6122448979591837,0.42857142857142855
95,23520,25680,HNL,-5.087719298245614,100.0,-2.456140350877193,2.5789473684210527
96,23880,25980,OGG,-7.75,100.0,-5.0,0.0
97,23880,27060,HNL,-4.60655737704918,216.0,-3.6557377049180326,2.9508196721311477
