,time_insec_dep,time_insec_arr,ORIGIN_AIRPORT,DEPARTURE_DELAY,DISTANCE,ARRIVAL_DELAY,weekday
0,300,6360,CLT,10.0,603.0,9.5,2.5
1,18000,21600,OKC,0.47058823529411764,175.0,-3.215686274509804,2.9215686274509802
2,18000,22020,OKC,1.4285714285714286,175.0,-4.0,2.5238095238095237
3,18000,22080,13851,-2.0952380952380953,175.0,-13.380952380952381,2.2857142857142856
4,18000,22080,13851,-3.0,175.0,-12.0,4.0
5,18000,22080,OKC,-4.714285714285714,175.0,-14.285714285714286,2.4761904761904763
6,18000,22260,HOU,-3.0,247.0,-5.0,1.0
7,18000,22380,HOU,-2.5,247.0,-3.0,4.0
8,18000,22440,XNA,-1.4823529411764707,280.0,-2.8823529411764706,2.8823529411764706
9,18000,22500,BPT,0.0392156862745098,270.0,0.5882352941176471,2.7254901960784315
10,18000,22500,MAF,7.681818181818182,309.0,8.863636363636363,2.8636363636363638
11,18000,22560,XNA,-5.0,280.0,-10.333333333333334,2.3333333333333335
12,18000,22620,MAF,-6.0,309.0,-13.0,3.0
13,18000,22620,XNA,-2.3863636363636362,280.0,-2.5,2.3863636363636362
14,18000,22680,LCH,0.4642857142857143,295.0,1.0714285714285714,2.892857142857143
15,18000,22680,LIT,-2.0,304.0,-2.033333333333333,3.066666666666667
16,18000,22680,XNA,25.0,280.0,19.0,3.0
17,18000,22740,LCH,-5.0,295.0,-4.043478260869565,2.9565217391304346
18,18000,22800,12191,0.0,247.0,-15.0,3.0
19,18000,22800,HOU,-3.0,247.0,-17.785714285714285,2.5714285714285716
20,18000,22800,ICT,-3.75,328.0,-3.75,1.5
21,18000,22860,ICT,-1.2222222222222223,328.0,0.1111111111111111,2.111111111111111
22,18000,22920,15919,-5.142857142857143,280.0,-14.904761904761905,2.238095238095238
23,18000,22920,15919,-4.0,280.0,-12.5,4.0
24,18000,22920,IAH,5.6,224.0,-1.8,2.2
25,18000,22920,XNA,-4.411764705882353,280.0,-12.470588235294118,1.9411764705882353
26,18000,22980,11111,-3.6538461538461537,315.0,-6.8076923076923075,2.9615384615384617
27,18000,22980,11111,-3.5,315.0,-13.5,4.0
28,18000,22980,COU,-2.0555555555555554,315.0,-6.166666666666667,2.1666666666666665
29,18000,22980,SGF,-2.7857142857142856,364.0,-4.857142857142857,2.6785714285714284
30,18000,23100,COU,-2.9642857142857144,315.0,-13.767857142857142,2.8035714285714284
31,18000,23160,SGF,-3.981818181818182,364.0,-5.3090909090909095,2.3636363636363638
32,18000,23280,CRP,-5.0,354.0,-14.0,1.0
33,18000,23400,12278,-4.0,328.0,-23.0,0.0
34,18000,23640,14783,-0.7083333333333334,364.0,-12.458333333333334,2.5
35,18000,23640,14783,-6.0,364.0,-20.0,4.0
36,18000,23640,SGF,-4.409090909090909,364.0,-16.772727272727273,2.272727272727273
37,18000,23940,BNA,2.0277777777777777,409.0,-0.25,2.9166666666666665
38,18000,24000,SGF,-0.4222222222222222,364.0,-10.444444444444445,2.7111111111111112
39,18000,24120,COU,-1.588235294117647,315.0,-24.764705882352942,2.9705882352941178
40,18000,24240,BNA,-2.4625,409.0,-14.1875,2.875
41,18000,24240,COU,-6.125,315.0,-27.25,2.8125
42,18000,24360,10693,-2.5,409.0,-15.76923076923077,2.9615384615384617
43,18000,24360,10693,-4.0,409.0,-13.0,3.0
44,18000,24360,BNA,-5.476190476190476,409.0,-21.333333333333332,3.0952380952380953
45,18000,24420,BNA,-2.380952380952381,409.0,-15.904761904761905,3.0
46,18000,24600,EWR,-2.2142857142857144,719.0,-35.0,2.857142857142857
47,18000,24660,BDL,0.2631578947368421,783.0,-16.36842105263158,2.6842105263157894
48,18000,25560,13851,-1.1666666666666667,693.0,-10.666666666666666,2.5555555555555554
49,18000,25560,OKC,-4.333333333333333,693.0,-22.333333333333332,2.3333333333333335
50,18060,22680,LIT,10.0,304.0,4.428571428571429,2.9285714285714284
51,18060,22740,BPT,-5.083333333333333,270.0,-13.125,2.9583333333333335
52,18060,22740,LCH,-4.857142857142857,295.0,-4.6,2.8285714285714287
53,18120,22620,AMA,-1.3461538461538463,312.0,-1.5769230769230769,3.1153846153846154
54,18120,22620,MAF,-3.230769230769231,309.0,-5.538461538461538,2.3076923076923075
55,18180,22800,XNA,-0.3170731707317073,280.0,-2.0,2.4146341463414633
56,18180,26100,OKC,-2.9298245614035086,693.0,-14.859649122807017,3.017543859649123
57,18240,22740,BPT,-4.854166666666667,270.0,-6.770833333333333,3.0208333333333335
58,18300,22320,11953,-4.708333333333333,294.0,-5.708333333333333,2.5833333333333335
59,18300,22320,11953,-5.0,294.0,-6.0,4.0
60,18300,22320,GNV,-5.409090909090909,294.0,-4.863636363636363,2.272727272727273
61,18300,22380,BUF,-5.866666666666666,474.0,-22.8,3.0
62,18300,22440,GNV,-3.028985507246377,294.0,-5.760869565217392,2.898550724637681
63,18300,23400,COU,-2.076923076923077,315.0,-13.346153846153847,3.1153846153846154
64,18300,24240,BNA,-1.5833333333333333,409.0,-10.083333333333334,3.0416666666666665
