,time_insec_dep,time_insec_arr,ORIGIN_AIRPORT,DEPARTURE_DELAY,DISTANCE,ARRIVAL_DELAY,weekday
0,60,20760,LAS,-10.0,1139.0,-29.0,6.0
1,180,18000,LAS,14.3,1222.0,10.15,2.9833333333333334
2,300,14520,LAS,2.0,1299.0,2.0,6.0
3,300,18000,LAS,17.727272727272727,1299.0,15.393939393939394,2.8484848484848486
4,300,18120,12889,-3.5925925925925926,1299.0,-6.37037037037037,3.2222222222222223
5,300,18120,12889,-2.5,1299.0,-7.0,4.0
6,300,18120,LAS,1.8571428571428572,1299.0,-4.857142857142857,2.607142857142857
7,300,18180,LAS,13.0,1299.0,6.592592592592593,3.037037037037037
8,300,21300,LAS,49.0,1299.0,50.0,6.0
9,600,18000,LAS,14.454545454545455,1222.0,16.045454545454547,3.409090909090909
10,900,18000,LAS,0.2222222222222222,1222.0,-3.4444444444444446,3.0555555555555554
11,900,18840,LAS,11.770833333333334,1299.0,9.979166666666666,3.2916666666666665
12,1200,19020,LAS,11.1875,1299.0,7.375,3.1875
13,1500,18300,LAS,-1.3125,1222.0,4.1875,2.8125
14,1500,18600,LAS,8.909090909090908,1222.0,6.181818181818182,3.3636363636363638
15,1500,19560,LAS,6.583333333333333,1299.0,1.1944444444444444,3.2222222222222223
16,1500,20520,PHX,3.75,1440.0,3.388888888888889,2.8333333333333335
17,1800,19620,LAS,0.6764705882352942,1299.0,-4.0588235294117645,2.911764705882353
18,1800,21000,OAK,3.0,1457.0,-8.0,2.0
19,2400,22200,LAS,15.222222222222221,1514.0,18.4,3.1555555555555554
20,2400,22380,LAS,13.555555555555555,1514.0,18.22222222222222,2.7777777777777777
21,2700,22200,LAS,-3.0,1055.0,5.0,6.0
22,2700,23400,LAS,14.0,1222.0,15.0,6.0
23,2760,20700,LAS,7.416666666666667,1299.0,-2.5,3.0
24,2820,22800,LAS,5.326923076923077,1514.0,1.1538461538461537,2.9615384615384617
25,3000,18900,LAS,-0.6521739130434783,1055.0,2.8260869565217392,2.782608695652174
26,3000,19440,LAS,6.126760563380282,1055.0,2.0,2.7464788732394365
27,3000,22860,LAS,10.0,1514.0,5.0,3.0
28,3300,18000,PHX,5.4375,868.0,6.354166666666667,3.0
29,3300,18180,PHX,-0.16666666666666666,868.0,1.064102564102564,2.948717948717949
30,3300,19200,LAS,3.491228070175439,1055.0,3.8771929824561404,3.0
31,3300,20220,LAS,4.5,1139.0,-4.75,4.5
32,3300,21120,LAS,1.8,1299.0,-2.3333333333333335,2.8666666666666667
33,3480,19380,LAS,0.21052631578947367,1055.0,-3.9473684210526314,3.473684210526316
34,3480,19500,LAS,-4.057142857142857,1055.0,-6.942857142857143,2.8857142857142857
35,3540,19680,12889,-9.5,1055.0,-4.0,3.75
36,3540,19680,LAS,-5.636363636363637,1055.0,-9.181818181818182,3.727272727272727
37,3600,18000,PHX,9.108108108108109,868.0,13.675675675675675,2.7567567567567566
38,3600,18240,14107,-4.538461538461538,868.0,-3.0,3.076923076923077
39,3600,18240,14107,-6.0,868.0,-12.0,3.0
40,3600,18240,PHX,-3.4285714285714284,868.0,-2.857142857142857,3.0
41,3600,19920,LAS,-5.176470588235294,1139.0,-6.529411764705882,3.0
42,3600,20520,LAS,-3.4324324324324325,1139.0,-12.864864864864865,2.891891891891892
43,3600,20640,LAS,-2.9,1139.0,-17.75,3.55
44,3660,19980,LAS,0.3125,1139.0,-0.25,2.8125
45,3660,20280,LAS,1.8717948717948718,1139.0,0.41025641025641024,2.871794871794872
46,3660,20640,LAS,4.8431372549019605,1139.0,-1.6862745098039216,2.8627450980392157
47,3660,20760,LAS,-8.45945945945946,1139.0,-20.864864864864863,2.891891891891892
48,3780,19800,LAS,16.0,1055.0,16.666666666666668,4.333333333333333
49,3900,21720,LAS,-3.0,1299.0,-12.352941176470589,3.176470588235294
50,4200,17280,LAS,-3.0,1139.0,-1.0,6.0
51,4200,20700,LAS,-1.6666666666666667,1139.0,-0.25,2.8333333333333335
52,4200,20880,12889,-3.4814814814814814,1139.0,-5.814814814814815,3.037037037037037
53,4200,20880,12889,-6.0,1139.0,-2.0,5.0
54,4200,20880,LAS,-4.428571428571429,1139.0,-10.107142857142858,2.6785714285714284
55,4500,20460,MSP,1.3894736842105264,1487.0,-3.5894736842105264,3.094736842105263
