,time_insec_dep,time_insec_arr,ORIGIN_AIRPORT,DEPARTURE_DELAY,DISTANCE,ARRIVAL_DELAY,weekday
0,60,10800,DEN,27.0,627.0,53.0,0.0
1,60,17040,DEN,6.0,1085.0,-2.0,5.0
2,120,9000,DEN,13.0,456.0,47.0,6.0
3,120,18420,DEN,14.0,1123.0,-6.0,5.0
4,180,6000,DEN,16.0,845.0,25.0,3.0
5,180,6300,DEN,13.0,458.0,18.5,3.0
6,240,10860,ORD,8.0,642.0,19.0,0.0
7,300,4320,ORD,-2.0,196.0,-20.0,0.0
8,360,8820,DEN,-5.0,423.0,-15.0,6.0
9,360,10260,DEN,51.0,533.0,36.0,4.0
10,360,11100,DEN,-5.0,627.0,-2.0,6.0
11,360,17940,DEN,22.0,1123.0,17.5,3.0
12,420,6360,DEN,-2.0,909.0,-15.0,6.0
13,420,10440,ORD,-5.0,607.0,-16.0,0.0
14,480,9840,DEN,12.0,495.0,12.0,6.0
15,480,10980,ORD,0.0,612.0,-8.0,0.0
16,540,6240,DEN,11.0,916.0,41.0,6.0
17,540,6540,DEN,20.0,916.0,37.0,0.0
18,540,9120,ORD,9.0,235.0,-14.0,0.0
19,540,11640,DEN,0.0,771.0,5.0,0.0
20,600,6120,DEN,-4.0,391.0,15.0,6.0
21,600,6960,DEN,58.0,458.0,48.0,5.0
22,660,11940,ORD,-8.0,760.0,-20.0,3.0
23,720,11940,ORD,24.0,773.0,16.0,0.0
24,780,9960,ORD,2.0,474.0,-5.0,6.0
25,960,12900,ORD,-3.0,849.0,-20.0,6.0
26,1260,6180,DEN,-5.0,819.0,-13.0,5.0
27,1260,10740,DEN,-4.0,541.0,30.0,0.0
28,1380,6840,DEN,-2.0,853.0,-5.0,6.0
29,1380,12420,DEN,7.0,627.0,-17.0,4.0
30,1440,9420,DEN,-3.0,649.0,-26.0,5.0
31,1440,13920,DEN,13.0,1014.0,41.0,0.0
32,1440,17520,DEN,-7.0,977.0,-20.0,6.0
33,1500,7200,DEN,-6.0,391.0,3.0,5.0
34,1500,17880,DEN,-4.0,1085.0,-17.0,6.0
35,1620,9240,DEN,-7.0,649.0,-16.0,6.0
36,1680,8460,DEN,-3.0,563.0,12.0,6.0
37,1680,11220,DEN,8.0,541.0,56.0,0.0
38,1740,9840,DEN,-11.0,359.0,10.0,6.0
