,time_insec_dep,time_insec_arr,ORIGIN_AIRPORT,DEPARTURE_DELAY,DISTANCE,ARRIVAL_DELAY,weekday
0,300,29280,SFO,2.259259259259259,2296.0,-3.111111111111111,3.037037037037037
1,600,4980,CLT,-4.0,328.0,-13.0,4.0
2,600,6600,CLT,8.0,573.0,5.0,4.0
3,600,22440,SLC,7.333333333333333,1927.0,-5.666666666666667,3.0
4,660,30300,LAX,-0.8181818181818182,2402.0,-6.0,2.9696969696969697
5,900,4500,CLT,-5.0,257.0,-10.0,6.0
6,900,4680,CLT,-3.0,257.0,-6.0,4.0
7,900,5220,CLT,-4.0,331.0,-7.0,6.0
8,900,5520,CLT,-7.0,331.0,-21.0,4.0
9,900,7680,CLT,-4.0,631.5,-7.5,5.0
10,900,8220,PHL,-6.0,2075.0,-3.0,3.0
11,900,20940,PHX,-3.0,1773.0,15.0,1.0
12,900,21600,PHX,1.4285714285714286,1773.0,-9.53061224489796,2.979591836734694
13,900,22020,SLC,-0.6825396825396826,1727.0,-4.857142857142857,2.857142857142857
14,900,22140,SLC,0.8461538461538461,1727.0,-5.115384615384615,3.0
15,900,23700,DEN,-3.0,1558.0,-11.0,6.0
16,900,29760,LAX,3.608695652173913,2402.0,7.782608695652174,3.0
17,900,30300,LAX,-6.4,2402.0,-19.8,3.2
18,900,31380,LAS,-3.0,2176.0,-11.0,6.0
19,1200,5760,CLT,-5.0,366.0,-17.0,6.0
20,1200,6660,CLT,-1.0,468.0,0.0,4.0
21,1200,6780,CLT,5.0,468.0,-1.0,6.0
22,1200,6960,CLT,-4.0,449.0,-16.0,4.0
23,1200,7500,CLT,-3.0,590.0,2.0,6.0
24,1200,10380,CLT,7.0,1773.0,14.0,6.0
25,1200,21660,PHX,2.5,1773.0,-15.0,4.5
26,1200,28080,LAS,-8.0,2176.0,-29.0,5.0
27,1200,29160,SFO,0.8,2296.0,6.2,3.6
28,1200,30600,LAX,51.0,2402.0,30.0,0.0
29,1260,6000,CLT,-6.0,366.0,-14.0,4.0
30,1500,2580,CLT,-4.0,328.0,1.0,6.0
31,1500,5340,CLT,26.0,651.0,36.0,6.0
32,1500,5520,CLT,53.0,226.0,49.0,6.0
33,1500,5760,CLT,-6.0,226.0,-14.0,4.0
