,time_insec_dep,time_insec_arr,ORIGIN_AIRPORT,DEPARTURE_DELAY,DISTANCE,ARRIVAL_DELAY,weekday
0,18000,23100,PHL,2.8333333333333335,668.0,-15.666666666666666,2.8333333333333335
1,18000,23700,BDL,4.2,777.0,-9.4,3.2
2,18000,24000,IND,-3.0,516.0,-17.0,6.0
3,18000,24000,MHT,-2.0,838.0,-15.666666666666666,2.8333333333333335
4,18000,24300,PDX,-1.0,543.0,-10.8,3.0
5,18000,24300,PVD,2.3333333333333335,842.0,-9.666666666666666,2.8333333333333335
6,18000,24900,BOS,1.5,861.0,-15.666666666666666,2.8333333333333335
7,18000,26700,CMH,-3.5,802.0,-20.166666666666668,2.8333333333333335
8,18000,27600,MDW,12.0,1750.0,-3.0,2.8333333333333335
9,18000,27900,MDW,-3.4,611.0,-10.8,3.2
10,18000,29100,OKC,1.0,761.0,-17.0,6.0
11,18000,30300,MCI,-0.8333333333333334,967.0,-11.0,2.8333333333333335
12,18000,30600,SEA,-0.8,1024.0,-1.8,2.2
13,18000,37500,LAS,-3.0,1521.0,-23.0,5.0
14,18300,22800,ISP,-1.2,220.0,3.8,2.2
15,18300,24300,ALB,-2.3333333333333335,289.0,-24.166666666666668,2.8333333333333335
16,18300,24300,MDW,-3.0,895.0,-13.166666666666666,2.8333333333333335
17,18300,26700,BNA,-1.2,1587.0,-19.6,2.2
18,18300,27000,PIT,-2.375,873.0,-15.25,3.375
19,18300,28200,MDW,-4.0,611.0,-2.5,5.0
20,18300,30600,OAK,1.6666666666666667,957.0,-7.666666666666667,2.8333333333333335
21,18300,37800,LAS,1.0,1521.0,-9.8,2.2
22,18600,22500,AUS,6.0,1242.0,-5.0,4.0
23,18600,23400,BUF,-3.3333333333333335,281.0,-16.0,2.8333333333333335
24,18600,23400,ORF,12.833333333333334,704.0,4.5,2.8333333333333335
25,18600,23400,RNO,0.6666666666666666,345.0,-1.8333333333333333,2.8333333333333335
26,18600,24900,GRR,-1.5,528.0,-0.3333333333333333,2.8333333333333335
27,18600,25200,MKE,0.0,896.0,-15.333333333333334,2.8333333333333335
28,18600,25500,BOS,-2.5,861.0,-12.0,3.0
29,18600,25500,SMF,0.3333333333333333,605.0,-2.3333333333333335,2.8333333333333335
30,18600,25800,AUS,-0.8974358974358975,756.0,-3.5641025641025643,1.8717948717948718
31,18600,25800,BHM,-1.8333333333333333,570.0,-15.5,2.8333333333333335
32,18600,26100,PDX,-1.6,763.0,-7.8,2.2
33,18600,27000,BNA,-2.0,1587.0,-5.0,6.0
34,18600,28800,BOS,-0.5,818.0,-16.666666666666668,2.8333333333333335
35,18600,28800,LAS,0.0,628.0,-16.0,6.0
36,18600,28800,MDW,-3.5,591.0,-12.0,5.0
37,18600,30900,PVD,-0.3333333333333333,1136.0,-28.333333333333332,2.8333333333333335
